,name,info,multi_race,asian,hispanic,black,white,native_american
306,Savan Kotecha, songwriter,,,,,,
307,KSHMR, electronic musician,,,,,,
308,Arun Luthra, jazz musician,,,,,,
309,Sanjaya Malakar, finalist on the sixth season of American Idol,,,,,,
310,Mathai, finalist on season 2 of The Voice,,,,,,
311,Zarin Mehta, executive director of the New York Philharmonic Orchestra,,,,,,
312,Zubin Mehta, former conductor,,,,,,
313,Sanjay Mishra, guitarist and composer,,,,,,
314,Vasant Rai, performer of Indian music,,,,,,
315,Paul Sabu, producer,,,,,,
316,Shaheen Sheik, songwriter,,,,,,
317,Bikram Singh, singer,,,,,,
318,Ambi Subramaniam, violinist and composer,,,,,,
319,Bindu Subramaniam, singer-songwriter,,,,,,
320,Kim Thayil, named among 100th greatest guitarists of all time by Rolling Stone,,,,,,
321,Zoya, a California-based singer and guitarist,,,,,,
322,Nav (rapper), a Canada-based rapper and producer,,,,,,
323,Sanjay Patel An animator and director and also illustrator of Pixar,,,,,,,
324,Shirish Korde, Composer,,,,,,
325,Prith Banerjee, Managing Director of Global Technology R&D at Accenture,,,,,,
326,Ajay Banga, President and CEO of MasterCard,,,,,,
327,Anu Aiyengar, Managing director of North American mergers and acquisitions of JPMorgan Chase & Co,,,,,,
328,Francis deSouza, CEO of Illumina,,,,,,
329,Rono Dutta, former President of United Airlines; Chairman of Air Sahara,,,,,,
330,Asim Ghosh, President and Chief Executive Officer at Husky Energy,,,,,,
331,Rajiv Gupta, CEO of SkyHigh Networks,,,,,,
332,Ajit Jain, President of Berkshire Hathaway Reinsurance Group,,,,,,
333,Anshu Jain, former co-CEO of Deutsche Bank,,,,,,
334,Sanjay Jha, CEO of Global Foundries and former CEO of Motorola Mobile Devices,,,,,,
335,Thomas Kurian, President of Product Development at Oracle Corporation,,,,,,
336,Victor Menezes, Chairman of Clearing House Association; former Chairman and CEO of Citibank,,,,,,
337,Satya Nadella, CEO of Microsoft,,,,,,
338,Ranji H. Nagaswami, Chief Investment Officer for AllianceBernstein Fund Investors,,,,,,
339,Shantanu Narayen, CEO of Adobe Systems,,,,,,
340,Indra Nooyi, Chairman and CEO of PepsiCo,,,,,,
341,Amit Munjal, founder and CEO of Doctor Insta and Former CFO of Citi Holdings,,,,,,
342,Dinesh Paliwal, Chairman and CEO of Harman International,,,,,,
343,Sundar Pichai, CEO of Google Inc.,,,,,,
344,Arati Prabhakar, Director of DARPA,,,,,,
345,Prakash Puram, President and CEO of iXmatch,,,,,,
346,Abbas Sadriwala, Chairman and CEO of the Fort Lauderdale-based Wireless Logix Group,,,,,,
347,Rajeev Suri, CEO of Nokia,,,,,,
348,Sonny Mehta, Chairman/Editor in chief of Alfred A. Knopf,,,,,,
349,Abhi Talwalkar, President and CEO of LSI Corporation,,,,,,
350,Padmasree Warrior, CEO of NIO (car company),,,,,,
351,Sandeep Tyagi, Chairman/Managing Director of Estee Advisors,,,,,,
352,Nikesh Arora, former Senior Vice President and Chief Business Officer of Google; former COO and President of SoftBank,,,,,,
353,Samir Arora, former CEO of Mode Media,,,,,,
354,Ramani Ayer, former Chairman and CEO of The Hartford Financial Services Group,,,,,,
355,Rakesh Gangwal, former CEO and Chairman of US Airways Group,,,,,,
356,Rajat Gupta, former Managing Director of McKinsey & Company,,,,,,
357,Umang Gupta, former CEO of Keynote Systems,,,,,,
358,Vyomesh Joshi, former Executive Vice President of Imaging and Printing Group,,,,,,
359,Anil Kumar, former Senior Partner and Chairman,,,,,,
360,Sanjay Kumar, former CEO of Computer Associates International,,,,,,
361,Bobby Mehta, former CEO and Vice Chairman of HSBC North America and former CEO of Transunion Company,,,,,,
362,Lakshmi Narayanan, Vice Chairman and former CEO of Cognizant Corporation,,,,,,
363,Vikram Pandit, former CEO of Citigroup,,,,,,
364,Vivek Ranadivé, former CEO of TIBCO Software,,,,,,
365,Kanwal Rekhi, former EVP and CTO of Novell,,,,,,
366,Arun Sarin, former president of Vodafone Group plc,,,,,,
367,Deven Sharma, former president of Standard & Poor's,,,,,,
368,Jay Sidhu, former Chairman and CEO of Sovereign Bancorp,,,,,,
369,Pradeep Sindhu, founder and CTO of Juniper Networks,,,,,,
370,Manoj Bhargava, founder and CEO of Innovations Ventures LLC; the company is known for producing the 5-hour Energy drink,,,,,,
371,Aneel Bhusri, co-founder and CEO of Workday,,,,,,
372,Amar Bose, founder and chairman of Bose Corporation,,,,,,
373,Bharat Desai, co-founder and chairman of Syntel,,,,,,
374,Sant Singh Chatwal, owner of the Bombay Palace chain of restaurants and Hampshire Hotels & Resorts,,,,,,
375,John Kapoor, founder and executive chairman of Insys Therapeutics,,,,,,
376,Vinod Khosla, founder of Khosla Ventures; co-founder of SUN Microsystems,,,,,,
377,Ram Shriram, venture fund capitalist and one of the first investors in Google,,,,,,
378,Romesh Wadhwani, founder,,,,,,
379,Somen Banerjee, co-founder of Chippendales,,,,,,
380,Ajit Gupta, founder and CEO of Speedera Networks,,,,,,
381,Agha Shahid Ali, poet,,,,,,
382,Shauna Singh Baldwin, novelist,,,,,,
383,Ravi Batra, bestselling author and economist,,,,,,
384,Susham Bedi, author,,,,,,
385,Anita Desai, novelist; shortlisted for the Booker prize three times; mother of Kiran Desai,,,,,,
386,Kiran Desai, winner of the 2006 Man Booker Prize,,,,,,
387,Ghalib Shiraz Dhalla, author,,,,,,
388,Chitra Banerjee Divakaruni, author,,,,,,
389,Anu Garg, author,,,,,,
390,Amitav Ghosh, Indo-nostalgic writer and winner of Prix Médicis étranger,,,,,,
391,Usha Haley, author,,,,,,
392,Rajiv Joseph, playwright,,,,,,
393,S. T. Joshi, literary critic,,,,,,
394,Siddharth Katragadda, author,,,,,,
395,Parag Khanna, author,,,,,,
396,Jhumpa Lahiri, Pulitzer Prize-winning author,,,,,,
397,Davan Maharaj, journalist and former editor-in-chief and publisher of the Los Angeles Times,,,,,,
398,Tulika Mehrotra, author,,,,,,
399,Dhan Gopal Mukerji, first successful Indian man of letters in the US; winner of the Newbery Medal,,,,,,
400,Bharati Mukherjee, author,,,,,,
401,Siddhartha Mukherjee, physician,,,,,,
402,Aimee Nezhukumatathil, poet,,,,,,
403,Indira Viswanathan Peterson, literary critic,,,,,,
404,Janaki Ram, author,,,,,,
405,Rishi Reddi, author,,,,,,
406,Saumitra Saxena, Hindi poet,,,,,,
407,Vijay Seshadri, Pulitzer Prize-winning poet and essayist,,,,,,
408,Vikram Seth, poet,,,,,,
409,Ravi Shankar, poet,,,,,,
410,Indu Sundaresan, author,,,,,,
411,Thrity Umrigar, author of Bombay Time,,,,,,
412,Abraham Verghese, doctor and author; wrote In My Own Country and My Tennis Partner,,,,,,
413,Kaavya Viswanathan, novelist,,,,,,
414,Ramya Ramana, poet,,,,,,
415,Roshani Chokshi novelist,,,,,,,
416,Joe Roche, Iraq war veteran and conservative political commentator,,,,,,
417,Uday Singh Taunque, first Indian American to die in Operation Iraqi Freedom; posthumously awarded Bronze Star and Purple Heart gallantry awards,,,,,,
418,Sunita Williams, astronaut and former Navy officer,,,,,,
419,John Abraham, former mayor of Teaneck,,,,,,
420,Saqib Ali, former member of the Maryland House of Delegates (Democratic),,,,,,
421,"Harvinder ""Harry"" Anand", mayor of Laurel Hollow,,,,,,
422,Sam Arora, member of the Maryland House of Delegates (Democratic),,,,,,
423,Kumar P. Barve, member of the Maryland House of Delegates (majority leader) (Democratic),,,,,,
424,Ravinder Bhalla – mayor, Hoboken,,,,,,
425,Satveer Chaudhary, former Minnesota State Senator (Democratic),,,,,,
426,Upendra J. Chivukula, member of the New Jersey General Assembly (Democratic),,,,,,
427,Swati Dandekar, Iowa State Senator (Democratic),,,,,,
428,Mervyn M. Dymally, 41st Lieutenant Governor of California (1975–1979); member of the U.S. House of Representatives (1981–1993) (Democratic),,,,,,
429,Kashmir Gill, mayor of Yuba City,,,,,,
430,Jay Goyal, member of the Ohio State Representative (Democratic),,,,,,
431,Raj Goyle, member of the Kansas State Representative (Democratic),,,,,,
432,Faz Husain, first native of India to win elected office in Michigan (Democratic),,,,,,
433,Bobby Jindal, former Governor of Louisiana; Vice Chairman of the Republican Governors Association (Republican),,,,,,
434,Nimi McConigley, former member of the Wyoming State Legislature (Republican),,,,,,
435,Aruna Miller, member of the Maryland House of Delegates (Democratic),,,,,,
436,Kshama Sawant, member of the Seattle City Council.,,,,,,
437,Harry Sidhu, city councilman of Anaheim,,,,,,
438,Balvir Singh, first Indian American member,,,,,,
439,Bala K. Srinivas, former mayor of Hollywood Park,,,,,,
440,Jenifer Rajkumar, Lower Manhattan district leader and candidate for the New York State Assembly (Democratic),,,,,,
441,Kamala Harris, former and 32nd Attorney General of California,,,,,,
442,Ami Bera, U.S. Representative for California's 7th congressional district,,,,,,
443,Raja Krishnamoorthi, U.S. Representative-elect for Illinois's 8th congressional district,,,,,,
444,Ro Khanna, U.S. Representative-elect for California's 17th congressional district,,,,,,
445,Pramila Jayapal, U.S. Representative-elect for Washington's 7th congressional district,,,,,,
446,Dalip Singh Saund, first Asian and Indian American member of the U.S. House of Representatives from California,,,,,,
447,Arif Alikhan, former Assistant Secretary for Policy Development at the U.S. Department of Homeland Security; former Deputy Mayor for Homeland Security and Public Safety for the City of Los Angeles; former senior adviser to Attorneys General John Ashcroft and Alberto Gonzales,,,,,,
448,Preeta D. Bansal, member and past chair of the United States Commission on International Religious Freedom; former Solicitor General of New York,,,,,,
449,Preet Bharara, United States Attorney for the Southern District of New York,,,,,,
450,Cathy Bissoon, judge for the United States District Court for the Western District of Pennsylvania,,,,,,
451,Nisha Desai Biswal, current Assistant Secretary of State for South and Central Asian Affairs,,,,,,
452,Joy Cherian, first Asian head of the Equal Employment Opportunity Commission,,,,,,
453,Aneesh Chopra, Federal Chief Technology Officer of the US,,,,,,
454,Har Dayal, founder of the Ghadar Party,,,,,,
455,Sabrina De Sousa, ex-CIA officer; is suing the US government for diplomatic immunity,,,,,,
456,Gurbir Grewal, Bergen County,,,,,,
457,Nikki Haley, current U.S. Ambassador to the United Nations and former Governor of South Carolina,,,,,,
458,Rashad Hussain, U.S. Special Envoy to the Organisation of Islamic Cooperation,,,,,,
459,Neel Kashkari, former interim Assistant Secretary of the Treasury for Financial Stability in the United States Department of the Treasury,,,,,,
460,Neal Katyal, Solicitor General of the United States,,,,,,
461,Atul Keshap, Ambassador of the United States to Sri Lanka and Maldives,,,,,,
462,Gopal Khanna, Chief Information Officer of Minnesota,,,,,,
463,Narayana Kocherlakota, President of Federal Reserve Bank of Minneapolis,,,,,,
464,Kris Kolluri, New Jersey Commissioner of Transportation,,,,,,
465,Vivek Kundra, Federal Chief Information Officer of the US,,,,,,
466,Arun Majumdar, Director of the U.S. Department of Energy's Advanced Research Projects Agency-Energy,,,,,,
467,Raj Mukherji, Deputy Mayor of Jersey City,,,,,,
468,Shekar Narasimhan, co-chair of the Democratic National Committee Indo-American Council,,,,,,
469,Ajit Pai, serving as Chairman at the Federal Communications Commission,,,,,,
470,Farah Pandith, Special Representative to Muslim Communities for the United States Department of State,,,,,,
471,Rachel Paulose, former United States Attorney for the District of Minnesota,,,,,,
472,Anant Raut, counsel to the U.S. House Judiciary Committee,,,,,,
473,Rajiv Shah, former Under Secretary of Agriculture for Research,,,,,,
474,Sonal Shah, member of the Obama-Biden Transition Project advisory board,,,,,,
475,Islam A. Siddiqui, Chief Agricultural Negotiator in the Office of the United States Trade Representative,,,,,,
476,Sabita Singh, first judge of Indian descent in Massachusetts history,,,,,,
477,Subra Suresh, Director of National Science Foundation,,,,,,
478,Vinai Thummalapally, served as U.S. Ambassador to Belize,,,,,,
479,Richard Verma, Assistant Secretary for Legislative and Intergovernmental Affairs,,,,,,
480,Surya Yalamanchili, 2010 US Congressional candidate,,,,,,
481,Vince Girdhari Chhabria, judge of the United States District Court for the Northern District of California ,,,,,,
482,Manish S. Shah, judge of the United States District Court for the Northern District of Illinois ,,,,,,
483,Srikanth Srinivasan, judge of the United States Court of Appeals for the District of Columbia Circuit,,,,,,
484,Indira Talwani, judge of the United States District Court for the District of Massachusetts ,,,,,,
485,Amul Thapar, judge of the United States Court of Appeals for the Sixth Circuit ,,,,,,
486,Chitrabhanu, Jain,,,,,,
487,Padmanabh Jaini, scholar of Jainism,,,,,,
488,Sushil Kumarji, Jain Acharya,,,,,,
489,Eboo Patel, member of New Faith Advisory Council,,,,,,
490,Anantanand Rambachan, Hindu scholar,,,,,,
491,Prem Rawat, also known as Guru Maharaji Ji,,,,,,
492,Muzammil Siddiqi, Ph.D.,,,,,,
493,Ravi Zacharias, Christian evangelist and apologist,,,,,,
494,Kuzhikalail M. Abraham, pioneer in lithium and lithium ion battery technologies,,,,,,
495,Ramesh K. Agarwal, aviation pioneer; William Palm Professor of Engineering at Washington University,,,,,,
496,Thomas Anantharaman, computer statistician specializing in Bayesian inference,,,,,,
497,Satya N. Atluri, aerospace and mechanics,,,,,,
498,VA Shiva Ayyadurai, inventor,,,,,,
499,Siva S. Banda, aerospace engineer and researcher,,,,,,
500,Krishna Bharat, Principal Scientist at Google; created Google News,,,,,,
501,Sabeer Bhatia, co-founder of Hotmail,,,,,,
502,Ajay Bhatt, co-inventor of the USB; Chief Client Platform Architect at Intel,,,,,,
503,Sharmila Bhattacharya, head of the Biomodel Performance and Behavior laboratory at NASA Ames Research Center,,,,,,
504,Mani Lal Bhaumik, contributor to excimer laser technology,,,,,,
505,Swapan Chattopadhyay, particle accelerator physicist,,,,,,
506,Kalpana Chawla, NASA space shuttle astronaut,,,,,,
507,Dhairya Dand, inventor and artist,,,,,,
508,Anil Dash, blogger and technologist,,,,,,
509,Vinod Dham," designed the Intel Pentium Chip Processor; the ""father of the Pentium Chip""",,,,,,
510,Rajiv Dutta, technology manager,,,,,,
511,Amitabha Ghosh, the only Asian on NASA's Mars Pathfinder mission,,,,,,
512,Anirvan Ghosh, neuroscientist,,,,,,
513,Noshir Gowadia, design engineer,,,,,,
514,Amit Goyal, scientist and inventor,,,,,,
515,Vic Gundotra, former Senior Vice President,,,,,,
516,Subrah Iyar, co-founder and CEO of Webex Communications,,,,,,
517,Subhash Kak, head of the Computer Science department at Oklahoma State University,,,,,,
518,Narinder Singh Kapany, engineer,,,,,,
519,Arjun Makhijani, electrical and nuclear engineer; President of the Institute for Energy and Environmental Research,,,,,,
520,Om Malik, technology journalist and blogger,,,,,,
521,Pranav Mistry, Sixth Sense Project,,,,,,
522,Samir Mitragotri, Professor of Chemical Engineering and Bioengineering at University of California,,,,,,
523,Vamsi Mootha, physician-scientist and computational biologist,,,,,,
524,Rajeev Motwani, professor,,,,,,
525,Siddhartha Mukherjee, scientist,,,,,,
526,Pran Nath, theoretical physicist at Northeastern University,,,,,,
527,Arun Netravali, scientist; former President of Bell Labs; former CTO of Lucent; pioneer of digital technology,,,,,,
528,Ajit V. Pai, Chairman of the United States Federal Communications Commission (FCC),,,,,,
529,Bedabrata Pain, co-inventor of the active pixel sensor,,,,,,
530,Vijay Raghunath Pandharipande, physicist,,,,,,
531,Deepak Pandya, neuroanatomist,,,,,,
532,C. Kumar N. Patel, developed the carbon dioxide laser,,,,,,
533,Jogesh Pati, theoretical physicist at the University of Maryland,,,,,,
534,DJ Patil, Chief Data Scientist of the United States Office of Science and Technology Policy,,,,,,
535,Arvind Rajaraman, theoretical physicist and string theorist,,,,,,
536,Ramesh Raskar, Femto-camera inventor,,,,,,
537,Vineeta Rastogi, public health worker,,,,,,
538,Raj Reddy, founder of the Robotics Institute at Carnegie Mellon University; winner of the Turing Award,,,,,,
539,V. Mohan Reddy, paediatric cardiothoracic surgeon at Stanford,,,,,,
540,Krishan Sabnani, engineer and Senior Vice President of the Networking Research Laboratory at Alcatel-Lucent Bell Labs in New Jersey,,,,,,
541,Avtar Saini, co-led the development of the Pentium processor Intel; holds seven patents related to microprocessor design,,,,,,
542,Ruchi Sanghvi, first female engineer of Facebook; former VP of Operations,,,,,,
543,Mahadev Satyanarayanan, computer science professor at Carnegie Mellon University; pioneer of research in mobile and pervasive computing,,,,,,
544,Khem Shahani, microbiologist who conducted pioneer research on probiotics; discovered the DDS-1 strain of Lactobacillus acidophilus,,,,,,
545,Amit Singhal, Google Fellow,,,,,,
546,Rangaswamy Srinivasan, member of the Inventors' Hall of Fame for pioneering work on excimer laser surgery,,,,,,
547,George Sudarshan, physicist,,,,,,
548,Ajit Varki, physician-scientist,,,,,,
549,Mathukumalli Vidyasagar, control theorist,,,,,,
550,Sunita Williams, NASA astronaut,,,,,,
551,Thomas Zacharia, computational scientist,,,,,,
552,Balamurali Ambati, world's youngest doctor,,,,,,
553,Paul Antony, MD,,,,,,
554,Sangeeta Bhatia, Harvard-MIT doctor and scientist; engineer of artificial liver cells,,,,,,
555,Deepak Chopra, alternative medicine advocate,,,,,,
556,Atul Gawande, general and endocrine surgeon,,,,,,
557,Anita Goel, Harvard-MIT physicist,,,,,,
558,Sanjay Gupta, neurosurgeon; CNN chief medical correspondent; declined offer by President Barack Obama to be nominated U.S. Surgeon General,,,,,,
559,Joia Mukherjee, Associate Professor with the Division of Global Health Equity at the Brigham and Women’s Hospital and the Department of Global Health and Social Medicine at Harvard Medical School,,,,,,
560,Vivek Murthy, 19th and former Surgeon General of the United States; former Vice Admiral of U.S. Public Health Corps,,,,,,
561,Amit Patel, cardiovascular surgeon and stem cell researcher; first person to inject stem cells directly into the heart,,,,,,
562,E. Premkumar Reddy, oncologist; Director of Fels institute of cancer research and molecular biology at Temple University,,,,,,
563,Harvinder Sahota, cardiologist; inventor of the FDA-approved perfusion balloon angioplasty; holds patents of 24 other medical inventions,,,,,,
564,Ashutosh Tewari, Professor of Urology at New York Presbyterian Hospital; prostate cancer surgeon,,,,,,
565,Vasant Lad, Ayurvedic physician,,,,,,
566,Prakash Amritraj, tennis player (born in the US),,,,,,
567,Stephen Amritraj, tennis player,,,,,,
568,Sanjay Beach, former NFL wide receiver; played for the San Francisco 49ers and the Green Bay Packers,,,,,,
569,Mohini Bhardwaj, second Indian American Olympic medalist,,,,,,
570,Vinay Bhat, chess grandmaster,,,,,,
571,Raj Bhavsar, third Indian American Olympic medalist,,,,,,
572,Brandon Chillar, NFL player,,,,,,
573,Jignesh Desai, cricketer,,,,,,
574,Sonjay Dutt, TNA pro wrestler,,,,,,
575,The Great Khali, WWE pro wrestler,,,,,,
576,Alexi Grewal, first Indian American to win an Olympic medal,,,,,,
577,Sunil Gulati, in charge of the United States Soccer Federation,,,,,,
578,Amjad Khan, cricketer,,,,,,
579,Ibrahim Khaleel, cricketer,,,,,,
580,Noshtush Kenjige, cricketer,,,,,,
581,Thirunavukkarasu Kumaran, cricketer,,,,,,
582,Anil Lashkari, cricketer,,,,,,
583,Sanjay Lal, wide receivers coach for the Buffalo Bills,,,,,,
584,Manny Malhotra, NHL hockey player,,,,,,
585,Aditya Mishra, cricketer,,,,,,
586,Sushil Nadkarni, American cricketer,,,,,,
587,Ami Parekh, figure skater,,,,,,
588,Japen Patel, cricketer,,,,,,
589,Mrunal Patel, cricketer,,,,,,
590,Sagar Patel, cricketer,,,,,,
591,Timil Patel, cricketer,,,,,,
592,Laxmi Poruri, tennis player,,,,,,
593,Abhimanyu Rajp, cricketer,,,,,,
594,Rajeev Ram, tennis player,,,,,,
595,Sunitha Rao, tennis player,,,,,,
596,Srini Santhanam, cricketer,,,,,,
597,Jessy Singh, cricketer,,,,,,
598,Shikha Uberoi, tennis player,,,,,,
599,Shiva Vashishat, cricketer,,,,,,
600,Bikram Choudhury, yoga guru,,,,,,
601,Dipa Ma, yoga teacher,,,,,,
602,Harbhajan Singh Yogi, introduced Kundalini Yoga and Sikhism to the US,,,,,,
603,Sunny Leone,,,,,,,
604,Priya Anjali Rai,,,,,,,